X,Y,item,device_id,device_id1,Desc_,UpdateDate,UpdateTime,link,Route,ImageName,VideoURL,ORG,latitude,longitude,Type,FID,VideoURL_HB,VideoURL_HD,REGION,RECORDED,COMMON_ID,FUNCTION,Column1
-10201485.89,5115582.884,,59527327,,IC - I-380 SB @ I-80 EB Ramp (41),20251112,120440,,I-380,IC - I-380 SB @ I-80 EB Ramp (41),https://iowadotsfs1.us-east-1.skyvdn.com:443/rtplive/ictv41lb/playlist.m3u8,IADOT,41.696221,-91.641507,Iowa DOT,247388,,,Iowa City,Y,ICTV41,General,
-10204315.52,5158236.191,,59527306,,CR - I-380 @ 4th St SE (10),20251112,120440,,I-380,CR - I-380 @ 4th St SE (10),https://iowadotsfs1.us-east-1.skyvdn.com:443/rtplive/crtv10lb/playlist.m3u8,IADOT,41.981684,-91.666926,Iowa DOT,247395,,,Cedar Rapids,Y,CRTV10,General,
-10203899.41,5150002.035,,59527333,,CR - US 30 @ J St SW (28),20251112,120440,,US 30,CR - US 30 @ J St SW (28),https://iowadotsfs1.us-east-1.skyvdn.com:443/rtplive/crtv28lb/playlist.m3u8,IADOT,41.926675,-91.663188,Iowa DOT,247400,,,Cedar Rapids,Y,CRTV28,General,
-10197807.68,5163397.295,,59527336,,CR - IA 100 @ Menards Ln (44),20251112,120440,,IA 100,CR - IA 100 @ Menards Ln (44),https://iowadotsfs1.us-east-1.skyvdn.com:443/rtplive/crtv44lb/playlist.m3u8,IADOT,42.016139,-91.608465,Iowa DOT,247403,,,Cedar Rapids,Y,CRTV44,General,
-10191357.71,5165684.023,,59527345,,CR - IA 13 @ Linn Aire Dr (51),20251112,120440,,IA 13,CR - IA 13 @ Linn Aire Dr (51),https://iowadotsfs1.us-east-1.skyvdn.com:443/rtplive/crtv51lb/playlist.m3u8,IADOT,42.031399,-91.550524,Iowa DOT,247406,,,Cedar Rapids,Y,CRTV51,General,
-10194841.23,5114534.423,,59527355,,IC - I-80 @ 12th Avenue (23),20251112,120440,,I-80,IC - I-80 @ 12th Avenue (23),https://iowadotsfs1.us-east-1.skyvdn.com:443/rtplive/ictv23lb/playlist.m3u8,IADOT,41.689188,-91.581817,Iowa DOT,247407,,,Iowa City,Y,ICTV23,General,
-10200987.63,5149954.306,,59527340,,CR - US 30 @ C St SW (30),20251112,120440,,US 30,CR - US 30 @ C St SW (30),https://iowadotsfs1.us-east-1.skyvdn.com:443/rtplive/crtv30lb/playlist.m3u8,IADOT,41.926356,-91.637031,Iowa DOT,247421,,,Cedar Rapids,Y,CRTV30,General,
-10210165.36,5165464.168,,59527341,,CR - IA 100 W of Edgewood Rd NE - MM 6.6 (53),20251112,120440,,IA 100,CR - IA 100 W of Edgewood Rd NE - MM 6.6 (53),https://iowadotsfs1.us-east-1.skyvdn.com:443/rtplive/crtv53lb/playlist.m3u8,IADOT,42.029932,-91.719476,Iowa DOT,247422,,,Cedar Rapids,Y,CRTV53,General,
-10196881.16,5115218.973,,59527348,,IC - I-80 @ East of Coral Ridge Ave (05),20251112,120440,,I-80,IC - I-80 @ East of Coral Ridge Ave (05),https://iowadotsfs1.us-east-1.skyvdn.com:443/rtplive/ictv05lb/playlist.m3u8,IADOT,41.69378,-91.600142,Iowa DOT,247425,,,Iowa City,Y,ICTV05,General,
-10228763.85,5114260.437,,59527353,,I-80 @ MM 226,20251112,120440,,I-80,I-80 @ MM 226,https://iowadotsfs1.us-east-1.skyvdn.com:443/rtplive/80TV226lb/playlist.m3u8,IADOT,41.68735,-91.886549,Iowa DOT,247430,,,I-80,Y,80TV226,General,
